Files	source_file	obj_num	GT_label	tile_num	3D_DAPI_int	3D_RFP_int	3D_GFP_int	3D_mean_DAPI_int	3D_mean_RFP_int	3D_mean_GFP_int	volume	2D_DAPI_int	2D_RFP_int	2D_GFP_int	2D_mean_DAPI_int	2D_mean_RFP_int	2D_mean_GFP_int	area	area_bbox	area_convex	equivalent_diameter_area	euler_number	extent	feret_diameter_max	inertia_tensor_eigvals_1	inertia_tensor_eigvals_2	inertia_tensor_eigvals_3	solidity	bbox_volume	surface_area	sphericity	convex_volume
1_masks_filtered.tif	tile_1.tif	7	S/G2	1	551013019.0	104086114.0	527709830.0	8572	1619	8210	64276	68932895.0	12175163.0	64021371.0	12755	2252	11847	5404	107520.0	70226.0	49.6992772717075	1.0	0.5978050595238096	95.0	763.5366192705374	476.9087551727987	315.04419679826486	0.9152735454105316	107520.0	10017.7138671875	0.7746069625011632	70226.0
1_masks_filtered.tif	tile_1.tif	13	G1	1	313767543.0	99180893.0	93507257.0	10013	3165	2984	31336	40551359.0	12154894.0	15335475.0	15525	4653	5871	2612	53824.0	34691.0	39.11544830366749	1.0	0.5821938168846611	61.91930232165088	352.7048308752627	194.12264091835348	189.03459339501936	0.9032890375025224	53824.0	6685.84130859375	0.718936333769009	34691.0
1_masks_filtered.tif	tile_1.tif	15	G1	1	300987244.0	145905699.0	96400490.0	8527	4133	2731	35296	38660675.0	18758308.0	12056889.0	13061	6337	4073	2960	53940.0	38587.0	40.69823946578152	1.0	0.6543566926214313	66.332495807108	414.429009050397	236.0700619574201	206.3724475686112	0.914712208774976	53940.0	6422.64599609375	0.8101904750633587	38587.0
1_masks_filtered.tif	tile_1.tif	23	S/G2	1	664731007.0	114480953.0	694447634.0	9641	1660	10072	68948	83872617.0	14178266.0	87810692.0	14541	2458	15223	5768	105780.0	74883.0	50.87538204495181	1.0	0.6518056343354132	91.52595260361949	805.1588620267399	448.244111766571	385.35068874575154	0.9207430257868944	105780.0	10532.0751953125	0.7720604198192385	74883.0
1_masks_filtered.tif	tile_1.tif	24	S/G2	1	522552998.0	91898442.0	221605196.0	8873	1560	3763	58888	67561383.0	11203025.0	27544098.0	13289	2203	5417	5084	87360.0	63295.0	48.269862400124985	1.0	0.6740842490842491	86.44651525654461	733.4172923871446	401.74061812109176	356.89342673192255	0.9303736472075204	87360.0	9098.6630859375	0.8044969657522308	63295.0
1_masks_filtered.tif	tile_1.tif	25	S/G2	1	304256334.0	118303706.0	198615087.0	6453	2509	4212	47144	45153984.0	17268413.0	28297633.0	9858	3770	6178	4580	75088.0	51744.0	44.82042138136505	1.0	0.6278499893458342	89.6493167849036	670.5011306625748	430.34394567634746	260.73886427819565	0.9111008039579468	75088.0	8025.87744140625	0.7863379204290677	51744.0
1_masks_filtered.tif	tile_1.tif	32	G1	1	306692991.0	271875798.0	219697947.0	7329	6497	5250	41844	41946198.0	38803856.0	30922957.0	10957	10136	8078	3828	65968.0	46288.0	43.0736350122141	1.0	0.6343075430511763	79.76214641043707	560.6187130761931	359.15282267218754	224.18827211348892	0.9039923954372624	65968.0	8821.09765625	0.6607699588030814	46288.0
1_masks_filtered.tif	tile_1.tif	36	G1	1	304875643.0	87366297.0	87486169.0	9008	2581	2584	33844	36036199.0	9603878.0	10910159.0	14165	3775	4288	2544	50400.0	36565.0	40.13232815044447	1.0	0.6715079365079365	67.86751800382861	405.02353201778135	242.3799193765691	189.93283324547295	0.9255845754136468	50400.0	4828.3408203125	1.0479502457016696	36565.0
1_masks_filtered.tif	tile_1.tif	37	S/G2	1	587044196.0	112807592.0	496054577.0	10257	1971	8668	57228	75091232.0	13697603.0	62214321.0	15274	2786	12655	4916	91260.0	62451.0	47.81197114415467	1.0	0.6270874424720578	84.64632301523794	678.2507290648397	361.7117478103136	343.7192961290899	0.9163664312821252	91260.0	9274.7822265625	0.7743181674834538	62451.0
1_masks_filtered.tif	tile_1.tif	46	G1	1	289779785.0	123517933.0	102055264.0	8029	3422	2827	36088	41740669.0	18153235.0	14023043.0	12572	5467	4223	3320	53352.0	39307.0	41.00039718742802	1.0	0.6764132553606238	80.2869852466762	514.5552555471514	368.5593683552015	168.6900940016783	0.9181061897371968	53352.0	5831.431640625	0.9056300230083336	39307.0
